,tobs
15301,72
15302,68
15303,67
15304,69
15305,74
15306,72
15307,76
15308,70
15309,73
15310,70
15311,76
15640,66
15641,69
15642,69
15643,70
15644,71
15645,73
15646,65
15647,71
15648,65
15649,75
15650,72
15651,74
15652,67
15653,65
15654,68
15655,66
15656,73
15657,74
15658,76
15659,72
15660,69
15661,71
15662,70
15663,70
15664,73
15665,71
15666,76
15667,72
15668,77
15669,70
15670,65
16002,72
16003,75
16004,68
16005,72
16006,64
16007,75
16008,69
16009,80
16010,73
16011,73
16012,73
16013,72
16014,73
16015,75
16016,76
16017,74
16018,72
16019,72
16020,70
16021,70
16022,71
16023,61
16024,65
16025,74
16026,71
16027,63
16028,64
16029,66
16030,68
16031,66
16364,70
16365,68
16366,68
16367,66
16368,75
16369,67
16370,70
16371,72
16372,69
16373,72
16374,69
16375,65
16376,71
16377,73
16378,69
16379,69
16380,63
16381,63
16382,71
16383,79
16384,67
16385,67
16386,64
16387,63
16388,68
16389,77
16390,79
16391,74
16392,68
16393,64
16718,70
16719,62
16720,68
16721,67
16722,70
16723,66
16724,64
16725,62
16726,64
16727,63
16728,69
16729,64
16730,70
16731,72
16732,72
16733,64
16734,71
16735,68
16736,81
16737,78
16738,69
16739,72
16740,70
16741,62
16742,76
16743,72
16744,76
16745,57
16746,64
16747,57
17257,71
17258,70
17259,67
17260,77
17261,69
17262,61
17263,62
17264,63
17265,73
17266,64
17267,67
17268,69
17269,80
17270,71
17271,73
17272,65
17273,68
17274,68
17275,69
17276,72
17277,69
17278,69
17279,67
17280,69
17281,73
17282,71
17283,71
17284,70
17285,71
17286,70
17287,75
17605,71
17606,73
17607,71
17608,71
17609,68
17610,67
17611,70
17612,67
17613,69
17614,71
17615,69
17616,69
17617,68
17618,69
17619,69
17620,67
17621,69
17622,68
17623,70
17624,68
17625,69
17626,71
17627,65
17628,69
17629,69
17630,69
17631,69
17632,70
17633,73
17634,67
17945,74
17946,77
17947,74
17948,73
17949,71
17950,73
17951,68
17952,69
17953,71
17954,72
17955,72
17956,67
17957,67
17958,69
17959,66
17960,66
17961,69
17962,66
17963,68
17964,65
17965,68
17966,67
17967,71
17968,65
17969,71
17970,69
17971,69
17972,62
17973,62
17974,67
17975,65
18287,68
18288,67
18289,75
18290,68
18291,68
18292,70
18293,83
18294,68
18295,70
18296,70
18297,68
18298,76
18299,72
18300,68
18301,64
18302,72
18303,72
18304,68
18305,70
18306,69
18307,68
18308,70
18309,67
18310,70
18311,70
18312,71
18313,70
18314,69
18315,71
18619,68
18620,70
18621,67
18622,70
18623,73
18624,70
18625,66
18626,70
18627,72
18628,71
18629,68
18630,71
18631,67
18632,65
18633,66
18634,70
18635,69
18636,70
18637,72
18638,67
18639,68
18640,64
18641,66
18642,65
18643,62
18644,68
18645,67
18959,73
18960,70
18961,71
18962,71
18963,70
18964,71
18965,69
18966,70
18967,73
18968,70
18969,72
18970,71
18971,69
18972,74
18973,73
18974,69
18975,71
18976,68
18977,72
18978,71
18979,70
18980,72
18981,71
18982,69
18983,71
18984,67
18985,71
18986,69
19298,71
19299,71
19300,67
19301,76
19302,67
19303,67
19304,68
19305,71
19306,68
19307,68
19308,69
19309,65
19310,70
19311,69
19312,64
19313,60
19314,67
19315,72
19316,73
19317,70
19318,68
19319,69
19320,69
19321,69
19322,71
19323,71
19324,71
19325,69
19326,65
19327,65
